configuration,sm_count,sm_percent,avg_gflops,verification,system_load,notes
native_baseline,142,100,5626,passed,idle,no Flyt virtualization (May 2026 measurement)
flyt_full_gpu,142,100,4968,passed,idle,11 percent overhead from TCP RPC (May 2026)
flyt_50_50_job1,71,50,2659,passed,idle,concurrent with job2 (May 2026)
flyt_50_50_job2,71,50,2656,passed,idle,concurrent with job1 (May 2026)
flyt_50_50_combined,142,100,5315,passed,idle,combined throughput exceeds single full-GPU job (May 2026)
flyt_30_70_job1_30pct,43,30,1696,passed,idle,smaller share of split (May 2026)
flyt_30_70_job2_70pct,99,70,3580,passed,idle,larger share of split (May 2026)
flyt_30_70_combined,142,100,5276,passed,idle,combined throughput proportional to allocation (May 2026)
docker_flyt_full_gpu,142,100,2731,passed,high,containerized full GPU - degraded by system load (May 2026)
docker_flyt_50_50_job1,71,50,1271,passed,high,containerized concurrent - degraded by system load (May 2026)
docker_flyt_50_50_job2,71,50,1274,passed,high,containerized concurrent - degraded by system load (May 2026)
docker_flyt_30_70_job1_30pct,43,30,955,passed,high,containerized 30pct - degraded by system load (May 2026)
docker_flyt_30_70_job2_70pct,99,70,1571,passed,high,containerized 70pct - degraded by system load (May 2026)
native_baseline_idle_rerun,142,100,5624,passed,idle,Jun 20 2026 clean rerun on idle GPU 2048x2048 10iter Cverify=509.290955
docker_flyt_full_gpu_idle,142,100,4978,passed,idle,Jun 20 2026 clean idle rerun matches host overhead within 0.2pct Cverify=509.290955
